Signal,Model,Chan,AUC,1e-2,1e-3,1e-4
monotop_200_A,Combined-AVG-VAE_beta1_z21-Flow,1,0.89,0.2,0.05,0.01
stlp_st1000,Combined-AND-VAE_beta1_z21-Flow,1,0.99,0.84,0.53,0.37
stlp_st1000,Combined-OR-VAE_beta1_z21-Flow,1,0.99,0.86,0.17,0.05
stlp_st1000,Combined-PROD-VAE_beta1_z21-Flow,1,0.99,0.87,0.57,0.29
stlp_st1000,Combined-AVG-VAE_beta1_z21-Flow,1,0.99,0.87,0.57,0.29
sqsq_sq1800_neut800,Combined-AND-VAE_beta1_z21-Flow,1,0.93,0.27,0.04,0.01
sqsq_sq1800_neut800,Combined-OR-VAE_beta1_z21-Flow,1,0.98,0.74,0.0,0.0
sqsq_sq1800_neut800,Combined-PROD-VAE_beta1_z21-Flow,1,0.95,0.36,0.05,0.01
sqsq_sq1800_neut800,Combined-AVG-VAE_beta1_z21-Flow,1,0.95,0.37,0.05,0.01
sqsq1_sq1400_neut800,Combined-AND-VAE_beta1_z21-Flow,1,0.85,0.25,0.08,0.04
sqsq1_sq1400_neut800,Combined-OR-VAE_beta1_z21-Flow,1,0.92,0.41,0.02,0.01
sqsq1_sq1400_neut800,Combined-PROD-VAE_beta1_z21-Flow,1,0.87,0.28,0.09,0.03
sqsq1_sq1400_neut800,Combined-AVG-VAE_beta1_z21-Flow,1,0.89,0.28,0.09,0.03
chaneut_cha250_neut150,Combined-AND-VAE_beta1_z21-Flow,2a,0.51,0.01,0.01,0.0
chaneut_cha250_neut150,Combined-OR-VAE_beta1_z21-Flow,2a,0.6,0.02,0.0,0.0
chaneut_cha250_neut150,Combined-PROD-VAE_beta1_z21-Flow,2a,0.54,0.01,0.0,0.0
chaneut_cha250_neut150,Combined-AVG-VAE_beta1_z21-Flow,2a,0.56,0.01,0.0,0.0
chaneut_cha400_neut200,Combined-AND-VAE_beta1_z21-Flow,2a,0.59,0.01,0.0,0.0
chaneut_cha400_neut200,Combined-OR-VAE_beta1_z21-Flow,2a,0.72,0.03,0.0,0.0
chaneut_cha400_neut200,Combined-PROD-VAE_beta1_z21-Flow,2a,0.63,0.01,0.0,0.0
chaneut_cha400_neut200,Combined-AVG-VAE_beta1_z21-Flow,2a,0.66,0.01,0.0,0.0
pp24mt_50,Combined-AND-VAE_beta1_z21-Flow,2a,0.68,0.05,0.01,0.0
pp24mt_50,Combined-OR-VAE_beta1_z21-Flow,2a,0.71,0.05,0.0,0.0
pp24mt_50,Combined-PROD-VAE_beta1_z21-Flow,2a,0.69,0.05,0.01,0.0
pp24mt_50,Combined-AVG-VAE_beta1_z21-Flow,2a,0.7,0.05,0.01,0.0
pp23mt_50,Combined-AND-VAE_beta1_z21-Flow,2a,0.52,0.01,0.0,0.0
pp23mt_50,Combined-OR-VAE_beta1_z21-Flow,2a,0.57,0.02,0.0,0.0
pp23mt_50,Combined-PROD-VAE_beta1_z21-Flow,2a,0.54,0.01,0.0,0.0
pp23mt_50,Combined-AVG-VAE_beta1_z21-Flow,2a,0.55,0.01,0.0,0.0
gluino_1000.0_neutralino_1.0,Combined-AND-VAE_beta1_z21-Flow,2a,0.95,0.46,0.22,0.08
gluino_1000.0_neutralino_1.0,Combined-OR-VAE_beta1_z21-Flow,2a,0.96,0.41,0.27,0.12
gluino_1000.0_neutralino_1.0,Combined-PROD-VAE_beta1_z21-Flow,2a,0.96,0.47,0.19,0.13
gluino_1000.0_neutralino_1.0,Combined-AVG-VAE_beta1_z21-Flow,2a,0.97,0.48,0.19,0.13
chaneut_cha200_neut50,Combined-AND-VAE_beta1_z21-Flow,2a,0.49,0.01,0.0,0.0
chaneut_cha200_neut50,Combined-OR-VAE_beta1_z21-Flow,2a,0.57,0.0,0.0,0.0
chaneut_cha200_neut50,Combined-PROD-VAE_beta1_z21-Flow,2a,0.51,0.0,0.0,0.0
chaneut_cha200_neut50,Combined-AVG-VAE_beta1_z21-Flow,2a,0.53,0.0,0.0,0.0
chaneut_cha300_neut100,Combined-AND-VAE_beta1_z21-Flow,2a,0.6,0.02,0.0,0.0
chaneut_cha300_neut100,Combined-OR-VAE_beta1_z21-Flow,2a,0.72,0.03,0.0,0.0
chaneut_cha300_neut100,Combined-PROD-VAE_beta1_z21-Flow,2a,0.64,0.02,0.0,0.0
chaneut_cha300_neut100,Combined-AVG-VAE_beta1_z21-Flow,2a,0.66,0.02,0.0,0.0
pp24mt_50,Combined-AND-VAE_beta1_z21-Flow,2b,0.79,0.4,0.24,0.16
pp24mt_50,Combined-OR-VAE_beta1_z21-Flow,2b,0.95,0.63,0.05,0.0
pp24mt_50,Combined-PROD-VAE_beta1_z21-Flow,2b,0.83,0.42,0.25,0.17
pp24mt_50,Combined-AVG-VAE_beta1_z21-Flow,2b,0.86,0.42,0.25,0.17
chaneut_cha200_neut50,Combined-AND-VAE_beta1_z21-Flow,2b,0.75,0.19,0.1,0.07
chaneut_cha200_neut50,Combined-OR-VAE_beta1_z21-Flow,2b,0.96,0.57,0.03,0.0
chaneut_cha200_neut50,Combined-PROD-VAE_beta1_z21-Flow,2b,0.81,0.22,0.11,0.07
chaneut_cha200_neut50,Combined-AVG-VAE_beta1_z21-Flow,2b,0.85,0.22,0.11,0.07
stlp_st1000,Combined-AND-VAE_beta1_z21-Flow,2b,1.0,0.92,0.57,0.32
stlp_st1000,Combined-OR-VAE_beta1_z21-Flow,2b,1.0,0.99,0.04,0.01
stlp_st1000,Combined-PROD-VAE_beta1_z21-Flow,2b,1.0,0.95,0.65,0.36
stlp_st1000,Combined-AVG-VAE_beta1_z21-Flow,2b,1.0,0.96,0.65,0.36
chacha_cha600_neut200,Combined-AND-VAE_beta1_z21-Flow,2b,0.91,0.36,0.1,0.03
chacha_cha600_neut200,Combined-OR-VAE_beta1_z21-Flow,2b,0.98,0.72,0.01,0.0
chacha_cha600_neut200,Combined-PROD-VAE_beta1_z21-Flow,2b,0.94,0.41,0.13,0.04
chacha_cha600_neut200,Combined-AVG-VAE_beta1_z21-Flow,2b,0.94,0.41,0.13,0.04
pp23mt_50,Combined-AND-VAE_beta1_z21-Flow,2b,0.76,0.31,0.11,0.06
pp23mt_50,Combined-OR-VAE_beta1_z21-Flow,2b,0.95,0.57,0.01,0.0
pp23mt_50,Combined-PROD-VAE_beta1_z21-Flow,2b,0.81,0.32,0.13,0.06
pp23mt_50,Combined-AVG-VAE_beta1_z21-Flow,2b,0.85,0.32,0.13,0.06
chaneut_cha250_neut150,Combined-AND-VAE_beta1_z21-Flow,2b,0.72,0.21,0.13,0.09
chaneut_cha250_neut150,Combined-OR-VAE_beta1_z21-Flow,2b,0.95,0.6,0.03,0.0
chaneut_cha250_neut150,Combined-PROD-VAE_beta1_z21-Flow,2b,0.78,0.23,0.14,0.1
chaneut_cha250_neut150,Combined-AVG-VAE_beta1_z21-Flow,2b,0.83,0.23,0.14,0.1
chacha_cha400_neut60,Combined-AND-VAE_beta1_z21-Flow,2b,0.89,0.32,0.1,0.04
chacha_cha400_neut60,Combined-OR-VAE_beta1_z21-Flow,2b,0.99,0.92,0.01,0.0
chacha_cha400_neut60,Combined-PROD-VAE_beta1_z21-Flow,2b,0.92,0.39,0.12,0.05
chacha_cha400_neut60,Combined-AVG-VAE_beta1_z21-Flow,2b,0.94,0.39,0.12,0.05
gluino_1000.0_neutralino_1.0,Combined-AND-VAE_beta1_z21-Flow,2b,1.0,0.96,0.82,0.66
gluino_1000.0_neutralino_1.0,Combined-OR-VAE_beta1_z21-Flow,2b,1.0,0.94,0.48,0.22
gluino_1000.0_neutralino_1.0,Combined-PROD-VAE_beta1_z21-Flow,2b,1.0,0.97,0.85,0.69
gluino_1000.0_neutralino_1.0,Combined-AVG-VAE_beta1_z21-Flow,2b,1.0,0.97,0.85,0.69
chacha_cha300_neut140,Combined-AND-VAE_beta1_z21-Flow,2b,0.86,0.2,0.05,0.02
