Signal,Model,Chan,AUC,1e-2,1e-3,1e-4
sqsq_sq1800_neut800,VAE-dynamic-beta0.999-z5_Radius,1,0.8,0.08,0.01,0.0
sqsq_sq1800_neut800,VAE-static-beta0.999-z8_RL,1,0.52,0.0,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta0.999-z8_Radius,1,0.76,0.03,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.999-z8_RL,1,0.52,0.02,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.999-z8_Radius,1,0.89,0.17,0.02,0.0
sqsq_sq1800_neut800,VAE-static-beta0.999-z13_RL,1,0.53,0.0,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta0.999-z13_Radius,1,0.9,0.08,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.999-z13_RL,1,0.52,0.02,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.999-z13_Radius,1,0.89,0.12,0.02,0.0
sqsq_sq1800_neut800,VAE-static-beta0.999-z21_RL,1,0.53,0.0,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta0.999-z21_Radius,1,0.82,0.05,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.999-z21_RL,1,0.52,0.02,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.999-z21_Radius,1,0.91,0.22,0.06,0.02
sqsq_sq1800_neut800,VAE-static-beta0.999-z34_RL,1,0.51,0.01,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta0.999-z34_Radius,1,0.83,0.04,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.999-z34_RL,1,0.52,0.02,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.999-z34_Radius,1,0.9,0.13,0.03,0.0
sqsq_sq1800_neut800,VAE-static-beta1-z5_RL,1,0.68,0.04,0.01,0.0
sqsq_sq1800_neut800,VAE-static-beta1-z5_Radius,1,0.74,0.02,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta1-z5_RL,1,0.57,0.02,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta1-z5_Radius,1,0.8,0.07,0.01,0.0
sqsq_sq1800_neut800,VAE-static-beta1-z8_RL,1,0.68,0.04,0.01,0.0
sqsq_sq1800_neut800,VAE-static-beta1-z8_Radius,1,0.84,0.04,0.01,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta1-z8_RL,1,0.57,0.02,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta1-z8_Radius,1,0.88,0.15,0.01,0.0
sqsq_sq1800_neut800,VAE-static-beta1-z13_RL,1,0.68,0.04,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta1-z13_Radius,1,0.83,0.06,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta1-z13_RL,1,0.57,0.02,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta1-z13_Radius,1,0.9,0.23,0.05,0.01
sqsq_sq1800_neut800,VAE-static-beta1-z21_RL,1,0.68,0.05,0.01,0.0
sqsq_sq1800_neut800,VAE-static-beta1-z21_Radius,1,0.87,0.05,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta1-z21_RL,1,0.57,0.02,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta1-z21_Radius,1,0.9,0.15,0.02,0.01
sqsq_sq1800_neut800,VAE-static-beta1-z34_RL,1,0.68,0.04,0.01,0.0
sqsq_sq1800_neut800,VAE-static-beta1-z34_Radius,1,0.82,0.03,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta1-z34_RL,1,0.57,0.02,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta1-z34_Radius,1,0.9,0.13,0.02,0.01
stop2b1000_neutralino300,VAE-static-beta1e-06-z5_RL,1,0.37,0.03,0.01,0.0
stop2b1000_neutralino300,VAE-static-beta1e-06-z5_Radius,1,0.82,0.08,0.01,0.0
stop2b1000_neutralino300,VAE-dynamic-beta1e-06-z5_RL,1,0.82,0.11,0.02,0.0
stop2b1000_neutralino300,VAE-dynamic-beta1e-06-z5_Radius,1,0.73,0.09,0.02,0.01
stop2b1000_neutralino300,VAE-static-beta1e-06-z8_RL,1,0.54,0.02,0.0,0.0
stop2b1000_neutralino300,VAE-static-beta1e-06-z8_Radius,1,0.83,0.08,0.01,0.0
stop2b1000_neutralino300,VAE-dynamic-beta1e-06-z8_RL,1,0.83,0.11,0.02,0.01
stop2b1000_neutralino300,VAE-dynamic-beta1e-06-z8_Radius,1,0.78,0.11,0.02,0.0
stop2b1000_neutralino300,VAE-static-beta1e-06-z13_RL,1,0.42,0.02,0.0,0.0
stop2b1000_neutralino300,VAE-static-beta1e-06-z13_Radius,1,0.84,0.08,0.01,0.0
stop2b1000_neutralino300,VAE-dynamic-beta1e-06-z13_RL,1,0.84,0.13,0.04,0.0
stop2b1000_neutralino300,VAE-dynamic-beta1e-06-z13_Radius,1,0.78,0.11,0.02,0.0
stop2b1000_neutralino300,VAE-static-beta1e-06-z21_RL,1,0.76,0.03,0.0,0.0
stop2b1000_neutralino300,VAE-static-beta1e-06-z21_Radius,1,0.83,0.08,0.01,0.0
stop2b1000_neutralino300,VAE-dynamic-beta1e-06-z21_RL,1,0.85,0.1,0.02,0.01
stop2b1000_neutralino300,VAE-dynamic-beta1e-06-z21_Radius,1,0.79,0.11,0.02,0.01
stop2b1000_neutralino300,VAE-static-beta1e-06-z34_RL,1,0.77,0.07,0.01,0.0
stop2b1000_neutralino300,VAE-static-beta1e-06-z34_Radius,1,0.84,0.07,0.01,0.0
stop2b1000_neutralino300,VAE-dynamic-beta1e-06-z34_RL,1,0.86,0.06,0.02,0.01
stop2b1000_neutralino300,VAE-dynamic-beta1e-06-z34_Radius,1,0.8,0.11,0.03,0.01
stop2b1000_neutralino300,VAE-static-beta0.001-z5_RL,1,0.49,0.09,0.03,0.0
stop2b1000_neutralino300,VAE-static-beta0.001-z5_Radius,1,0.72,0.07,0.01,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.001-z5_RL,1,0.83,0.1,0.02,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.001-z5_Radius,1,0.83,0.12,0.02,0.0
stop2b1000_neutralino300,VAE-static-beta0.001-z8_RL,1,0.5,0.09,0.03,0.01
stop2b1000_neutralino300,VAE-static-beta0.001-z8_Radius,1,0.73,0.07,0.01,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.001-z8_RL,1,0.83,0.11,0.03,0.01
stop2b1000_neutralino300,VAE-dynamic-beta0.001-z8_Radius,1,0.82,0.12,0.02,0.0
stop2b1000_neutralino300,VAE-static-beta0.001-z13_RL,1,0.45,0.01,0.0,0.0
stop2b1000_neutralino300,VAE-static-beta0.001-z13_Radius,1,0.79,0.08,0.01,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.001-z13_RL,1,0.84,0.09,0.01,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.001-z13_Radius,1,0.8,0.12,0.03,0.01
stop2b1000_neutralino300,VAE-static-beta0.001-z21_RL,1,0.47,0.02,0.0,0.0
stop2b1000_neutralino300,VAE-static-beta0.001-z21_Radius,1,0.8,0.09,0.01,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.001-z21_RL,1,0.85,0.1,0.03,0.01
stop2b1000_neutralino300,VAE-dynamic-beta0.001-z21_Radius,1,0.8,0.12,0.02,0.01
stop2b1000_neutralino300,VAE-static-beta0.001-z34_RL,1,0.56,0.01,0.0,0.0
stop2b1000_neutralino300,VAE-static-beta0.001-z34_Radius,1,0.82,0.08,0.01,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.001-z34_RL,1,0.71,0.1,0.02,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.001-z34_Radius,1,0.79,0.11,0.02,0.01
stop2b1000_neutralino300,VAE-static-beta0.1-z5_RL,1,0.24,0.0,0.0,0.0
stop2b1000_neutralino300,VAE-static-beta0.1-z5_Radius,1,0.75,0.06,0.01,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.1-z5_RL,1,0.79,0.09,0.02,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.1-z5_Radius,1,0.82,0.12,0.02,0.01
stop2b1000_neutralino300,VAE-static-beta0.1-z8_RL,1,0.24,0.0,0.0,0.0
stop2b1000_neutralino300,VAE-static-beta0.1-z8_Radius,1,0.81,0.05,0.01,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.1-z8_RL,1,0.81,0.1,0.02,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.1-z8_Radius,1,0.81,0.12,0.02,0.0
stop2b1000_neutralino300,VAE-static-beta0.1-z13_RL,1,0.26,0.0,0.0,0.0
stop2b1000_neutralino300,VAE-static-beta0.1-z13_Radius,1,0.71,0.05,0.01,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.1-z13_RL,1,0.75,0.08,0.02,0.01
stop2b1000_neutralino300,VAE-dynamic-beta0.1-z13_Radius,1,0.84,0.1,0.02,0.0
stop2b1000_neutralino300,VAE-static-beta0.1-z21_RL,1,0.29,0.0,0.0,0.0
stop2b1000_neutralino300,VAE-static-beta0.1-z21_Radius,1,0.78,0.07,0.01,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.1-z21_RL,1,0.76,0.08,0.02,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.1-z21_Radius,1,0.84,0.12,0.03,0.01
stop2b1000_neutralino300,VAE-static-beta0.1-z34_RL,1,0.2,0.0,0.0,0.0
stop2b1000_neutralino300,VAE-static-beta0.1-z34_Radius,1,0.75,0.06,0.01,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.1-z34_RL,1,0.76,0.09,0.02,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.1-z34_Radius,1,0.84,0.11,0.02,0.01
stop2b1000_neutralino300,VAE-static-beta0.5-z5_RL,1,0.31,0.0,0.0,0.0
stop2b1000_neutralino300,VAE-static-beta0.5-z5_Radius,1,0.82,0.08,0.02,0.01
stop2b1000_neutralino300,VAE-dynamic-beta0.5-z5_RL,1,0.84,0.06,0.01,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.5-z5_Radius,1,0.68,0.09,0.02,0.01
stop2b1000_neutralino300,VAE-static-beta0.5-z8_RL,1,0.56,0.04,0.01,0.0
stop2b1000_neutralino300,VAE-static-beta0.5-z8_Radius,1,0.8,0.05,0.01,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.5-z8_RL,1,0.85,0.08,0.01,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.5-z8_Radius,1,0.65,0.11,0.02,0.01
stop2b1000_neutralino300,VAE-static-beta0.5-z13_RL,1,0.45,0.01,0.0,0.0
stop2b1000_neutralino300,VAE-static-beta0.5-z13_Radius,1,0.73,0.05,0.01,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.5-z13_RL,1,0.84,0.07,0.01,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.5-z13_Radius,1,0.72,0.11,0.02,0.0
stop2b1000_neutralino300,VAE-static-beta0.5-z21_RL,1,0.35,0.0,0.0,0.0
stop2b1000_neutralino300,VAE-static-beta0.5-z21_Radius,1,0.78,0.05,0.01,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.5-z21_RL,1,0.85,0.07,0.01,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.5-z21_Radius,1,0.72,0.1,0.02,0.0
stop2b1000_neutralino300,VAE-static-beta0.5-z34_RL,1,0.42,0.0,0.0,0.0
stop2b1000_neutralino300,VAE-static-beta0.5-z34_Radius,1,0.75,0.05,0.01,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.5-z34_RL,1,0.84,0.08,0.01,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.5-z34_Radius,1,0.66,0.1,0.02,0.0
stop2b1000_neutralino300,VAE-static-beta0.8-z5_RL,1,0.69,0.04,0.0,0.0
stop2b1000_neutralino300,VAE-static-beta0.8-z5_Radius,1,0.82,0.13,0.03,0.01
stop2b1000_neutralino300,VAE-dynamic-beta0.8-z5_RL,1,0.81,0.03,0.01,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.8-z5_Radius,1,0.66,0.11,0.02,0.0
stop2b1000_neutralino300,VAE-static-beta0.8-z8_RL,1,0.77,0.02,0.01,0.0
stop2b1000_neutralino300,VAE-static-beta0.8-z8_Radius,1,0.86,0.13,0.03,0.01
stop2b1000_neutralino300,VAE-dynamic-beta0.8-z8_RL,1,0.81,0.03,0.01,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.8-z8_Radius,1,0.7,0.11,0.02,0.0
stop2b1000_neutralino300,VAE-static-beta0.8-z13_RL,1,0.72,0.04,0.0,0.0
stop2b1000_neutralino300,VAE-static-beta0.8-z13_Radius,1,0.88,0.15,0.03,0.01
stop2b1000_neutralino300,VAE-dynamic-beta0.8-z13_RL,1,0.81,0.02,0.0,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.8-z13_Radius,1,0.71,0.11,0.02,0.0
stop2b1000_neutralino300,VAE-static-beta0.8-z21_RL,1,0.71,0.04,0.01,0.0
stop2b1000_neutralino300,VAE-static-beta0.8-z21_Radius,1,0.87,0.13,0.04,0.01
stop2b1000_neutralino300,VAE-dynamic-beta0.8-z21_RL,1,0.79,0.03,0.01,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.8-z21_Radius,1,0.71,0.1,0.02,0.0
stop2b1000_neutralino300,VAE-static-beta0.8-z34_RL,1,0.67,0.02,0.0,0.0
stop2b1000_neutralino300,VAE-static-beta0.8-z34_Radius,1,0.88,0.14,0.02,0.0
