Signal,Model,Chan,AUC,1e-2,1e-3,1e-4
pp23mt_50,DeepSVDD_C0_d8,2a,0.61,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C0_d13,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C0_d21,2a,0.6,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C0_d34,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C0_d55,2a,0.57,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C0_d89,2a,0.56,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C0_d144,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C0_d233,2a,0.56,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C0_d377,2a,0.54,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C1_d5,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C1_d8,2a,0.61,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C1_d13,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C1_d21,2a,0.6,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C1_d34,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C1_d55,2a,0.57,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C1_d89,2a,0.56,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C1_d144,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C1_d233,2a,0.56,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C1_d377,2a,0.54,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C2_d5,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C2_d8,2a,0.61,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C2_d13,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C2_d21,2a,0.6,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C2_d34,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C2_d55,2a,0.57,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C2_d89,2a,0.56,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C2_d144,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C2_d233,2a,0.56,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C2_d377,2a,0.54,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C3_d5,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C3_d8,2a,0.61,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C3_d13,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C3_d21,2a,0.6,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C3_d34,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C3_d55,2a,0.57,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C3_d89,2a,0.56,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C3_d144,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C3_d233,2a,0.56,0.01,0.0,0.0
