Model,MinTotalImprovement,MedianTotalImprovement,MaxTotalImprovement
DeepSVDD_C25_d89,0.6,1.5999999999999999,9.1706052144883
DeepSVDD_Reduced_d144,0.6,1.5999999999999999,13.281566172707194
DeepSVDD_Reduced_d233,0.6,1.5999999999999999,10.435516278555653
DeepSVDD_C3_d34,0.6,1.5999999999999999,12.965338406690355
DeepSVDD_C0_d34,0.6,1.5999999999999999,12.965338406690355
LS_AND_20_0.001_10000,0.0,1.5854361101509389,27.093831673527962
DAGMM_10_1e-06_5000_0.001_0.01_50_10_4,0.0,1.5842839036755387,7.139248630376762
DAGMM_10_1e-06_5000_0.01_0.01_50_10_4,0.0,1.564696393593732,6.687309987614007
DAGMM_10_1e-06_5000_0.01_0.01_50_10_8,0.0,1.5531743288397282,10.1801056529911
DAGMM_10_1e-06_5000_0.001_0.01_50_10_8,0.0,1.5497177094135268,10.667924636712605
DAGMM_10_1e-07_500_0.001_0.01_100_15_8,0.0,1.5428044705611246,7.737981229649492
DAGMM_10_1e-06_1000_0.001_0.01_50_10_4,0.0,1.5335868187579211,8.676498755027772
LS_Average_20_0.001_1000,0.0,1.5314694945599778,46.17889293238843
LS_Product_20_0.001_1000,0.0,1.5300922737914886,46.19804635127371
DAGMM_10_1e-07_500_0.001_0.01_100_10_8,0.0,1.5278257863809193,7.163378663091363
DAGMM_10_1e-07_500_0.01_0.01_100_15_8,0.0,1.5278257863809193,7.737981229649492
LS_VAE_20_0.001_1000,0.0,1.5218289491805532,22.352039839111278
ALAD_ld40_lr1e-5_bs500_epoch2000_enc512_F_sc,0.12861736334405144,1.5188953488372092,21.241523035137767
DAGMM_10_1e-07_500_0.01_0.01_100_10_8,0.0,1.5163037216269153,7.163378663091363
DAGMM_10_1e-06_1000_0.01_0.01_50_10_4,0.0,1.5105426892499134,8.676498755027772
DeepSVDD_C1_d55,0.6,1.4999999999999998,13.597793938724031
DeepSVDD_Reduced_d8,0.6,1.4999999999999998,18.0
DeepSVDD_C1_d8,0.6,1.4999999999999998,18.0
DeepSVDD_C3_d8,0.6,1.4999999999999998,18.0
DeepSVDD_C2_d55,0.6,1.4999999999999998,13.597793938724031
DeepSVDD_Reduced_d55,0.6,1.4999999999999998,13.597793938724031
DeepSVDD_C1_d21,0.6324555320336759,1.4999999999999998,13.281566172707194
DeepSVDD_C3_d21,0.6324555320336759,1.4999999999999998,13.281566172707194
DeepSVDD_C2_d21,0.6324555320336759,1.4999999999999998,13.281566172707194
DeepSVDD_C0_d21,0.6324555320336759,1.4999999999999998,13.281566172707194
DeepSVDD_C2_d8,0.6,1.4999999999999998,18.0
DeepSVDD_C0_d8,0.6,1.4999999999999998,18.0
DeepSVDD_C0_d55,0.6,1.4999999999999998,13.597793938724031
DeepSVDD_C4_d55,0.6,1.4999999999999998,13.597793938724031
DeepSVDD_C4_d21,0.6324555320336759,1.4999999999999998,13.281566172707194
DeepSVDD_C25_d8,0.6,1.4999999999999998,18.0
DeepSVDD_C10_d21,0.6324555320336759,1.4999999999999998,13.281566172707194
DeepSVDD_C25_d21,0.6324555320336759,1.4999999999999998,13.281566172707194
DeepSVDD_C3_d55,0.6,1.4999999999999998,13.597793938724031
DeepSVDD_C4_d8,0.6,1.4999999999999998,18.0
DeepSVDD_C10_d55,0.6,1.4999999999999998,13.597793938724031
DeepSVDD_C10_d8,0.6,1.4999999999999998,18.0
DeepSVDD_C25_d55,0.6,1.4999999999999998,13.597793938724031
DeepSVDD_Reduced_d21,0.6324555320336759,1.4999999999999998,13.281566172707194
DAGMM_10_1e-06_1000_0.01_0.01_50_15_8,0.0,1.4932392710170488,8.944646619421567
DAGMM_10_1e-07_500_0.001_0.01_100_15_4,0.0,1.486346353266505,7.623060716337866
DAGMM_10_1e-06_1000_0.001_0.01_50_15_8,0.0,1.4844209288653734,9.158178292932186
LS_OR_30_0.001_10000,0.0,1.4825581395348841,40.37540701015131
DAGMM_20_1e-06_500_0.001_0.001_50_15_8,0.0,1.4819182389937107,6.588715601031756
DAGMM_10_1e-07_500_0.01_0.01_100_15_4,0.0,1.4748242885125014,7.623060716337866
DAGMM_10_1e-07_1000_0.001_0.001_50_10_8,0.0,1.469723691945914,5.918406435548745
DAGMM_10_1e-07_1000_0.01_0.001_50_10_8,0.0,1.469723691945914,5.918406435548745
ALAD_ld10_lr1e-5_bs100_epoch2000_enc512_L_1,0.03215434083601286,1.4672835426305353,31.829206216127197
DAGMM_20_1e-06_500_0.01_0.001_50_15_8,0.0,1.462264150943396,6.591790369142993
